2025-03-28 18:18:24,252 - EPOCH ::: 1
2025-03-28 18:26:56,144 - Loss_pi: 3.617077589035034, Loss_v: 0.08358288370072842
2025-03-28 18:27:00,595 - Loss_pi: 3.6762603918711343, Loss_v: 0.10257547969619434
2025-03-28 18:27:05,034 - Loss_pi: 3.637377917766571, Loss_v: 0.09664162527769804
2025-03-28 18:27:09,410 - Loss_pi: 3.569403791427612, Loss_v: 0.08965888991951942
2025-03-28 18:27:13,823 - Loss_pi: 3.609948674837748, Loss_v: 0.09090872295200825
2025-03-28 18:27:18,253 - Loss_pi: 3.6254633154187883, Loss_v: 0.08696039393544197
2025-03-28 18:27:22,734 - Loss_pi: 3.6275629699230194, Loss_v: 0.09187269536778331
2025-03-28 18:27:27,154 - Loss_pi: 3.6304765277438693, Loss_v: 0.0906681041750643
2025-03-28 18:27:31,637 - Loss_pi: 3.666126918792725, Loss_v: 0.09562416709959506
2025-03-28 18:27:36,062 - Loss_pi: 3.656243324279785, Loss_v: 0.10116387802091512
2025-03-28 18:27:40,580 - Loss_pi: 3.648340026537577, Loss_v: 0.10446340125054121
2025-03-28 18:27:45,155 - Loss_pi: 3.64797148337731, Loss_v: 0.10127479668993217
2025-03-28 18:27:49,658 - Loss_pi: 3.6524720191955566, Loss_v: 0.10421107203832694
2025-03-28 18:27:54,221 - Loss_pi: 3.655759747823079, Loss_v: 0.10664606417218844
2025-03-28 18:27:58,647 - Loss_pi: 3.6639151573181152, Loss_v: 0.10485777840949595
2025-03-28 18:28:03,057 - Loss_pi: 3.671836362165563, Loss_v: 0.1088238763896858
2025-03-28 18:28:07,464 - Loss_pi: 3.6588540739483304, Loss_v: 0.1097378765957223
2025-03-28 18:28:11,943 - Loss_pi: 3.6567874331223336, Loss_v: 0.10887716338038445
2025-03-28 18:28:16,421 - Loss_pi: 3.6474622964859007, Loss_v: 0.11045367661863566
2025-03-28 18:28:20,824 - Loss_pi: 3.650587626865932, Loss_v: 0.11340205743908882
2025-03-28 18:28:25,249 - Loss_pi: 3.646271965720437, Loss_v: 0.11679722046987577
2025-03-28 18:28:29,666 - Loss_pi: 3.6394428584886636, Loss_v: 0.11721103622213654
2025-03-28 18:28:34,081 - Loss_pi: 3.625616600116094, Loss_v: 0.11884480916584532
2025-03-28 18:28:38,474 - Loss_pi: 3.616284742355347, Loss_v: 0.11790947332978248
2025-03-28 18:28:42,967 - Loss_pi: 3.6168607565072866, Loss_v: 0.11875105377000111
2025-03-28 18:28:47,445 - Loss_pi: 3.620614731753314, Loss_v: 0.1183954031655082
2025-03-28 18:28:51,895 - Loss_pi: 3.622675691332136, Loss_v: 0.11636828764208726
2025-03-28 18:28:56,371 - Loss_pi: 3.623717628676316, Loss_v: 0.1183049912596571
2025-03-28 18:29:00,790 - Loss_pi: 3.6206902742385862, Loss_v: 0.11965250844756763
2025-03-28 18:29:05,279 - Loss_pi: 3.625556222854122, Loss_v: 0.12080226430008488
2025-03-28 18:29:09,679 - Loss_pi: 3.6332421228289604, Loss_v: 0.11900578788481653
2025-03-28 18:29:14,037 - Loss_pi: 3.6287895477179326, Loss_v: 0.1210466106281136
2025-03-28 18:29:18,451 - Loss_pi: 3.6235013919718124, Loss_v: 0.12345154605367605
2025-03-28 18:29:22,917 - Loss_pi: 3.6140538283756802, Loss_v: 0.1221507830279214
2025-03-28 18:29:27,314 - Loss_pi: 3.6177664399147034, Loss_v: 0.1222396766146024
2025-03-28 18:29:31,771 - Loss_pi: 3.611717191902367, Loss_v: 0.12190455641295458
2025-03-28 18:29:36,258 - Loss_pi: 3.6186299763227763, Loss_v: 0.12117472938016842
2025-03-28 18:29:40,733 - Loss_pi: 3.6216145111964297, Loss_v: 0.11967709947090882
2025-03-28 18:29:45,235 - Loss_pi: 3.6210529029369356, Loss_v: 0.12057447638362646
2025-03-28 18:29:49,735 - Loss_pi: 3.610222124471897, Loss_v: 0.12068339618967801
2025-03-28 18:29:54,265 - Loss_pi: 3.6074362993240356, Loss_v: 0.12192767415018309
2025-03-28 18:29:58,768 - Loss_pi: 3.6140588327895764, Loss_v: 0.12204556981491488
2025-03-28 18:30:03,278 - Loss_pi: 3.616243443705819, Loss_v: 0.1214286493645473
2025-03-28 18:30:07,695 - Loss_pi: 3.614875708685981, Loss_v: 0.12184640417496363
2025-03-28 18:30:12,156 - Loss_pi: 3.609669063402259, Loss_v: 0.12357367980091469
2025-03-28 18:30:16,547 - Loss_pi: 3.6084637540452023, Loss_v: 0.12326778994595751
2025-03-28 18:30:20,953 - Loss_pi: 3.6073816319306693, Loss_v: 0.1229582354426384
2025-03-28 18:30:25,387 - Loss_pi: 3.6079520887258103, Loss_v: 0.1233438283813243
2025-03-28 18:30:29,768 - Loss_pi: 3.611342010498047, Loss_v: 0.12273419797420501
2025-03-28 18:30:34,268 - Loss_pi: 3.6166843947242286, Loss_v: 0.1225086812879525
2025-03-28 18:30:38,664 - Loss_pi: 3.6231290514652548, Loss_v: 0.12317207541603309
2025-03-28 18:30:43,112 - Loss_pi: 3.6290947851145043, Loss_v: 0.12299684589763857
2025-03-28 18:30:47,685 - Loss_pi: 3.6244313893494784, Loss_v: 0.12274366713784358
2025-03-28 18:30:52,134 - Loss_pi: 3.6192672382701527, Loss_v: 0.12194247381253676
2025-03-28 18:30:56,595 - Loss_pi: 3.619918997798647, Loss_v: 0.1217382297452007
